artist_mbid,mbid_canonico,nombre,nombre_orden,tipo,genero,area,anio_inicio,anio_fin,tags,wikidata,fuente
e3dff124-6537-4937-ae0d-97916bac7288,e3dff124-6537-4937-ae0d-97916bac7288,Robyn Hitchcock and the Egyptians,"Hitchcock, Robyn and the Egyptians",Group,,United Kingdom,,,alternative rock;jangle pop;neo-psychedelia;psychedelic pop;psychedelic rock,https://www.wikidata.org/wiki/Q7353599,musicbrainz
e3e0abcd-7671-4482-a9d8-462f5acc9be5,e3e0abcd-7671-4482-a9d8-462f5acc9be5,Incubus,Incubus,Group,,United States,1991,,alternative rock;funk metal;nu metal;funk rock;pop rock,https://www.wikidata.org/wiki/Q1661036,musicbrainz
e3e250c1-fc37-4d6a-a907-2e3bf3ad0f0b,e3e250c1-fc37-4d6a-a907-2e3bf3ad0f0b,Etta Baker,"Baker, Etta",Person,Female,United States,1913,2006,blues;country blues;piedmont blues,https://www.wikidata.org/wiki/Q292389,musicbrainz
e3e32cca-f72a-48d7-8ed5-7460598c9ecf,e3e32cca-f72a-48d7-8ed5-7460598c9ecf,Asem Shama,"Shama, Asem",Person,,,,,,,musicbrainz
e3e4e534-30cd-4979-bcc5-a75c49802f57,e3e4e534-30cd-4979-bcc5-a75c49802f57,Late of the Pier,Late of the Pier,Group,,United Kingdom,2004,,dance-punk;new rave;electropunk;glam rock,https://www.wikidata.org/wiki/Q2465058,musicbrainz
e3e5355a-2470-4b1c-847c-c482c50b06e6,e3e5355a-2470-4b1c-847c-c482c50b06e6,The Singers Unlimited,"Singers Unlimited, The",Group,,United States,1971,1982,a cappella;jazz;vocal jazz,https://www.wikidata.org/wiki/Q2414248,musicbrainz
e3e7a076-ee69-4f19-84db-d092f7e38e40,e3e7a076-ee69-4f19-84db-d092f7e38e40,Plan B,Plan B,Group,,Puerto Rico,1999,,reggaeton;latin;latin urban,https://www.wikidata.org/wiki/Q3391113,musicbrainz
e3e90633-b6f1-4376-b15b-2492c94b4cf7,e3e90633-b6f1-4376-b15b-2492c94b4cf7,Kid Abelha,Kid Abelha,Group,,Brazil,1982,2016,brazilian;pop-rock;rock,https://www.wikidata.org/wiki/Q2437762,musicbrainz
e3eb5f1d-f57e-4cc5-9821-e79bf2b4f0b6,e3eb5f1d-f57e-4cc5-9821-e79bf2b4f0b6,Letter Kills,Letter Kills,Group,,United States,2002,2006,emo pop;pop punk,https://www.wikidata.org/wiki/Q6533538,musicbrainz
e3ed2c87-1f67-4982-b2c0-27370f0d8ae4,6a4c2d34-7f7f-4f87-b17f-b5540aa840db,The Miracles,"Miracles, The",Group,,United States,1955,1978,soul;motown;pop;pop soul;r&b,https://www.wikidata.org/wiki/Q1761222,musicbrainz
e3eeb52a-5c5e-4687-8f07-9f42049d2ae8,e3eeb52a-5c5e-4687-8f07-9f42049d2ae8,Falete,Falete,Person,Male,Spain,1978,,,https://www.wikidata.org/wiki/Q922334,musicbrainz
e3efd639-6d14-4fff-92b5-9ccc469d9ca6,e3efd639-6d14-4fff-92b5-9ccc469d9ca6,Telecast,Telecast,Group,,United States,2003,,,https://www.wikidata.org/wiki/Q5560265,musicbrainz
e3f139c7-11bc-4803-82be-2bac85ca3c61,e3f139c7-11bc-4803-82be-2bac85ca3c61,Fruit Bats,Fruit Bats,Group,,United States,1997,,indie folk,https://www.wikidata.org/wiki/Q5506361,musicbrainz
e3f22ec9-77cc-4e18-9f6c-66da0d0ead5c,e3f22ec9-77cc-4e18-9f6c-66da0d0ead5c,WE ARE BALBOA,"BALBOA, WE ARE",Group,,,2005,,,,musicbrainz
e3f26718-9061-44b1-ac02-3b22c4c7041a,e3f26718-9061-44b1-ac02-3b22c4c7041a,My Hero Is Me,My Hero Is Me,Group,,United States,,,,,musicbrainz
e3f40d48-8f70-4654-9bdf-4a4ce1c95642,e3f40d48-8f70-4654-9bdf-4a4ce1c95642,Claire Hamill,"Hamill, Claire",Person,Female,United Kingdom,1954,,a cappella;contemporary folk;singer-songwriter;synthpop,https://www.wikidata.org/wiki/Q2975048,musicbrainz
e3f935bc-889b-444e-991c-b5a05c844388,e3f935bc-889b-444e-991c-b5a05c844388,Toires,Toires,Person,Male,Saint-Émilion,,,,,musicbrainz
e3fd6ace-f177-453f-81cb-cece8e87bf33,e3fd6ace-f177-453f-81cb-cece8e87bf33,Solar Twins,Solar Twins,Group,,United Kingdom,,,british;electronic;electronica,https://www.wikidata.org/wiki/Q17019605,musicbrainz
e3fdde77-2ddb-43fd-bf09-883529b1bbb1,e3fdde77-2ddb-43fd-bf09-883529b1bbb1,Gazpacho,Gazpacho,Group,,Italy,,,,,musicbrainz
e3ff4587-f753-474f-8575-263cf5472dd5,e3ff4587-f753-474f-8575-263cf5472dd5,Avoid One Thing,Avoid One Thing,Group,,United States,2002,2005,,https://www.wikidata.org/wiki/Q3631131,musicbrainz
e4032a2b-22ce-423b-8692-34a30e69f24c,e4032a2b-22ce-423b-8692-34a30e69f24c,My Life Story,My Life Story,Group,,New Zealand,2001,,new zealand;rock,,musicbrainz
e405ae2e-46cd-4298-af9e-9e2fbd8e6283,e405ae2e-46cd-4298-af9e-9e2fbd8e6283,This Moment in Black History,This Moment in Black History,Group,,United States,2002,,,https://www.wikidata.org/wiki/Q19864255,musicbrainz
e4060f6d-92ea-4a2f-9c4f-f755426a868b,e4060f6d-92ea-4a2f-9c4f-f755426a868b,Spanish Fly,Spanish Fly,Group,,,,,,,musicbrainz
e407caff-ec87-45e1-9a37-66b714cad514,e407caff-ec87-45e1-9a37-66b714cad514,Myrlla Muniz,Myrlla Muniz,Person,,,,,,,musicbrainz
e40a7989-f4f8-4652-a753-50c3ae318ecc,e40a7989-f4f8-4652-a753-50c3ae318ecc,Spinecar,Spinecar,,,,,,,,musicbrainz
